bnumber	Site
b0871	TU0-13075
b0871	TU0-42650
b0871	TU0-45205
b0871	TU541
b0872	TU0-14451
b0872	TU0-42650
b0872	TU0-7021
b0873	TU0-14451
b0873	TU0-42650
b0873	TU0-7021
b0874	TU0-13076
b0875	TU0-1106
b0876	TU0-8670
b0877	TU0-8513
b0878	TU0-14298
b0879	TU0-14298
b0879	TU0-8349
b0879	TU0-8350
b0880	TU0-6486
b0881	TU0-14357
b0882	TU00445
b0882	TU00446
b0882	TU00447
b0883	TU0-42660
b0883	TU0-42662
b0883	TU00508
b0884	TU-8389
b0884	TU-8390
b0884	TU0-42662
b0885	TU0-13077
b0886	TU00254
b0887	TU00254
b0888	TU0-13078
b0889	TU00181
b0890	TU0-14447
b0890	TU0-14448
b0891	TU0-13079
b0892	TU0-13079
b0893	TU0-13080
b0894	TU0-1122
b0894	TU00019
b0895	TU0-1122
b0895	TU00019
b0896	TU0-1122
b0896	TU0-42696
b0896	TU00019
b0897	TU-8382
b0898	TU0-13081
b0899	TU0-13082
b0900	TU0-8674
b0901	TU0-8673
b0902	TU0-13083
b0903	TU00377
b0903	TU00378
b0903	TU00379
b0903	TU00380
b0903	TU00381
b0903	TU00382
b0903	TU00383
b0903	TU00384
b0904	TU00377
b0904	TU00378
b0904	TU00379
b0905	TU0-13084
b0906	TU0-13085
b0907	TU0-42569
