id	desc	pval	common_size	target_size
15687190	https://pubmed.ncbi.nlm.nih.gov/15687190	5.18e-03	2	6
15543598	https://pubmed.ncbi.nlm.nih.gov/15543598	5.18e-03	2	6
27941785	https://pubmed.ncbi.nlm.nih.gov/27941785	6.97e-03	2	7
11092847	https://pubmed.ncbi.nlm.nih.gov/11092847	6.97e-03	2	7
13152052	https://pubmed.ncbi.nlm.nih.gov/13152052	6.97e-03	2	7
12142426	https://pubmed.ncbi.nlm.nih.gov/12142426	6.97e-03	2	7
19552773	https://pubmed.ncbi.nlm.nih.gov/19552773	6.97e-03	2	7
19445950	https://pubmed.ncbi.nlm.nih.gov/19445950	6.97e-03	2	7
17209032	https://pubmed.ncbi.nlm.nih.gov/17209032	6.97e-03	2	7
10926369	https://pubmed.ncbi.nlm.nih.gov/10926369	9.00e-03	2	8
1830224	https://pubmed.ncbi.nlm.nih.gov/1830224	9.00e-03	2	8
2434147	https://pubmed.ncbi.nlm.nih.gov/2434147	9.00e-03	2	8
2468524	https://pubmed.ncbi.nlm.nih.gov/2468524	9.00e-03	2	8
2527569	https://pubmed.ncbi.nlm.nih.gov/2527569	9.00e-03	2	8
7896771	https://pubmed.ncbi.nlm.nih.gov/7896771	9.00e-03	2	8
16987178	https://pubmed.ncbi.nlm.nih.gov/16987178	9.00e-03	2	8
19542271	https://pubmed.ncbi.nlm.nih.gov/19542271	9.00e-03	2	8
8905232	https://pubmed.ncbi.nlm.nih.gov/8905232	9.80e-03	10	241
15852340	https://pubmed.ncbi.nlm.nih.gov/15852340	0.0110	8	172
15158257	https://pubmed.ncbi.nlm.nih.gov/15158257	0.0137	2	10
