organism,id1,id2,coexpression
511145,b0010,b1385,57
511145,b0010,b0599,158
511145,b0010,b3871,57
511145,b0011,b3923,54
511145,b0011,b2992,57
511145,b0011,b0580,58
511145,b0011,b0301,60
511145,b0011,b0533,53
511145,b0011,b3010,283
511145,b0011,b2333,56
511145,b0011,b4130,56
511145,b0011,b4257,58
511145,b0011,b0938,53
511145,b0011,b2184,166
511145,b0011,b0709,56
511145,b0011,b3875,70
511145,b0011,b2534,57
511145,b0011,b3710,57
511145,b0011,b2578,56
511145,b0011,b0212,42
511145,b0011,b4347,57
511145,b0011,b3711,54
511145,b0011,b2339,53
511145,b0011,b3238,56
511145,b0011,b4116,57
511145,b0011,b4080,102
511145,b0011,b1645,136
511145,b0011,b2123,53
511145,b0011,b0846,59
511145,b0011,b3086,58
511145,b0011,b1618,58
511145,b0011,b1968,57
511145,b0011,b1532,131
511145,b0011,b3240,284
511145,b0011,b0802,58
511145,b0011,b3207,57
511145,b0011,b0943,53
511145,b0011,b4185,56
511145,b0011,b1111,151
511145,b0011,b1499,57
511145,b0011,b0834,57
511145,b0011,b2094,54
511145,b0011,b0013,111
511145,b0011,b2335,53
511145,b0011,b2419,57
511145,b0011,b0719,53
511145,b0011,b4251,195
511145,b0011,b0603,54
511145,b0011,b1534,57
511145,b0011,b0139,58
511145,b0011,b4112,56
511145,b0011,b1502,53
511145,b0011,b0977,57
511145,b0011,b2532,160
511145,b0011,b2577,54
511145,b0011,b0546,57
511145,b0011,b2109,58
511145,b0011,b2386,58
511145,b0011,b2370,56
511145,b0011,b2334,55
511145,b0011,b1956,58
511145,b0011,b0375,56
511145,b0011,b3577,58
511145,b0011,b2966,99
511145,b0011,b0944,56
511145,b0011,b1731,108
511145,b0011,b3674,59
511145,b0011,b2848,274
511145,b0011,b0566,57
511145,b0011,b2776,58
511145,b0011,b0629,73
511145,b0011,b3050,80
511145,b0011,b0060,283
511145,b0011,b4081,96
511145,b0011,b3896,58
511145,b0011,b3338,236
511145,b0011,b3516,57
511145,b0011,b2382,57
511145,b0011,b1643,95
511145,b0011,b0993,56
511145,b0011,b4066,58
511145,b0011,b4327,54
511145,b0011,b4249,57
